26 
attribute_name   attribute_type
꽃무늬 패턴               1
그래픽              1
줄무늬 패턴              1
자수를 놓은          1
주름 잡힌              1
솔리드                1
격자무늬              1
긴소매          2
반소매         2
민소매           2
맥시          3
미니          3
나체             3
크루넥        4
브이넥           4
스퀘어넥      4
목선 없음          4
데님                5
쉬폰              5
면               5
가죽              5
가짜                 5
니트                 5
타이트한                6
널널한                6
평범한         6
